topic,app,applicationCategory,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case,latency
bms,app27,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,16091324.56,80,3.859582580828297
bms,app2,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,16091324.56,80,3.787414094579738
bms,app30,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,16091324.56,80,3.809469967316192
bms,app8,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,16091324.56,80,3.8117331578078457
energymanagement,app12,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.8608802548762
energymanagement,app1,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.8674902204361263
energymanagement,app24,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.875970963615191
energymanagement,app27,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.854382583675856
energymanagement,app2,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.8785522515485855
energymanagement,app30,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.853136551890755
energymanagement,app32,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.8693983575514994
energymanagement,app3,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.873550569276052
energymanagement,app4,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.8916032806276974
energymanagement,app5,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.865180421662008
energymanagement,app6,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.853416334477271
energymanagement,app7,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.864886004815907
energymanagement,app8,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,3324693.6,80,3.869763354812535
firedetection,app1,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.7805837864338976
firedetection,app22,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.735241885701153
firedetection,app23,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.820418433458952
firedetection,app25,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.853187836930409
firedetection,app27,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.740321213890614
firedetection,app29,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.78598221748851
firedetection,app30,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.77090257521465
firedetection,app31,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.791588301058203
firedetection,app7,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,191693.0,80,3.7669533812779146
intrusiondetection,app21,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.856996328457645
intrusiondetection,app24,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.861606223601307
intrusiondetection,app2,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.859809640386317
intrusiondetection,app36,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.881985177719066
intrusiondetection,app40,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.8563389206451295
intrusiondetection,app41,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.878852758731671
intrusiondetection,app45,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.872221125654673
intrusiondetection,app47,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.8403358220026176
intrusiondetection,app6,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,47583046.2,80,3.854687913200432
occupancymanagement,app12,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.63544846734572
occupancymanagement,app17,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.624890759999597
occupancymanagement,app21,RT,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.619477063181327
occupancymanagement,app42,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.5989866522503187
occupancymanagement,app43,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.60170407592739
occupancymanagement,app44,VS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.555446041106052
occupancymanagement,app5,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.735012821800189
occupancymanagement,app8,AN,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,280313.84,80,3.716914772159862
printing,app11,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.965981324038775
printing,app12,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.9903611823981664
printing,app13,TS,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,624394.2,80,3.9515047727524455
